データコード,ST'FXERM07,ST'FX180110002
系列名称,"東京市場　ドル・円　スポット　17時時点/月中平均","実質実効為替レート指数"
1970/01,      ,58.64
1970/02,      ,58.49
1970/03,      ,58.76
1970/04,      ,58.85
1970/05,      ,58.41
1970/06,      ,58.22
1970/07,      ,57.81
1970/08,      ,57.6
1970/09,      ,58.16
1970/10,      ,58.83
1970/11,      ,58.6
1970/12,      ,58.99
1971/01,      ,58.9
1971/02,      ,58.79
1971/03,      ,58.6
1971/04,      ,59.27
1971/05,      ,58.96
1971/06,      ,59.04
1971/07,      ,59.05
1971/08,      ,58.8
1971/09,      ,62.88
1971/10,      ,63.99
1971/11,      ,63.71
1971/12,      ,64.5
1972/01,      ,65.61
1972/02,      ,66.75
1972/03,      ,67.46
1972/04,      ,68.06
1972/05,      ,67.59
1972/06,      ,67.69
1972/07,      ,68.01
1972/08,      ,68.1
1972/09,      ,68.21
1972/10,      ,68.64
1972/11,      ,68.66
1972/12,      ,68.68
1973/01,301.93,68.88
1973/02,279.48,72.62
1973/03,265.26,77.25
1973/04,265.52,77.07
1973/05,264.73,77.56
1973/06,264.7 ,75.74
1973/07,264.41,74.39
1973/08,265.11,74.55
1973/09,265.49,76.05
1973/10,266.32,74.87
1973/11,277.05,72.91
1973/12,280   ,74.85
1974/01,298.64,73.19
1974/02,291.24,74.94
1974/03,282.58,75.75
1974/04,277.78,77.88
1974/05,278.93,76.58
1974/06,283.05,75.82
1974/07,290.91,74.39
1974/08,302.22,71.86
1974/09,299.63,72.95
1974/10,299.48,73.71
1974/11,300.1 ,72.79
1974/12,300.44,72.87
1975/01,299.64,72.59
1975/02,292.17,73.45
1975/03,288.03,74.45
1975/04,292.12,74.48
1975/05,291.47,74.12
1975/06,293.57,72.98
1975/07,296.22,73.35
1975/08,297.93,73.44
1975/09,299.68,74.56
1975/10,302.38,74.31
1975/11,302.53,73.61
1975/12,305.7 ,72.92
1976/01,304.66,73.84
1976/02,301.9 ,74.82
1976/03,300.6 ,75.33
1976/04,299.1 ,77.24
1976/05,299.06,77.25
1976/06,299.4 ,77.2
1976/07,294.77,78.52
1976/08,290.77,78.41
1976/09,287.58,81
1976/10,290.99,79.87
1976/11,295.09,78.53
1976/12,294.65,79.12
1977/01,290.94,79.95
1977/02,285.22,81.26
1977/03,280.41,82.52
1977/04,275.14,84.75
1977/05,277.53,84.21
1977/06,272.97,84.45
1977/07,264.9 ,85.86
1977/08,266.63,84.95
1977/09,266.95,86.17
1977/10,255.32,89.95
1977/11,244.7 ,92.03
1977/12,241.28,91.73
1978/01,241.21,90.56
1978/02,240.31,90.42
1978/03,231.42,93.83
1978/04,221.61,98.37
1978/05,226.34,96.99
1978/06,214.38,100.58
1978/07,199.95,106.16
1978/08,188.5 ,111.31
1978/09,190.16,110.17
1978/10,183.95,111.48
1978/11,191.33,106.94
1978/12,196.12,103.55
1979/01,197.78,101.56
1979/02,200.53,98.79
1979/03,206.21,95.79
1979/04,215.83,91.91
1979/05,218.14,91.13
1979/06,218.85,89.75
1979/07,216.44,89.27
1979/08,217.9 ,87.12
1979/09,222.22,85.08
1979/10,230.36,82.71
1979/11,244.86,76.91
1979/12,240.65,77.45
1980/01,237.73,78.07
1980/02,244.07,75.99
1980/03,248.61,75.56
1980/04,251.45,76.13
1980/05,228.06,81.8
1980/06,218.11,84.56
1980/07,220.91,82.72
1980/08,224.34,81.33
1980/09,214.95,85.34
1980/10,209.21,87.67
1980/11,212.99,86.99
1980/12,209.79,88.07
1981/01,202.19,91.63
1981/02,205.76,91.1
1981/03,208.84,89.25
1981/04,215.07,87.54
1981/05,220.78,87.11
1981/06,224.21,86.3
1981/07,232.11,83.08
1981/08,233.62,82.61
1981/09,229.83,83.28
1981/10,231.4 ,81.53
1981/11,223.76,83.58
1981/12,219.02,85.42
1982/01,224.55,83.23
1982/02,235.25,80.3
1982/03,240.64,79.08
1982/04,244.9 ,78.9
1982/05,236.97,80.03
1982/06,251.11,76.46
1982/07,255.1 ,75.19
1982/08,258.67,74.75
1982/09,262.74,74.88
1982/10,271.33,73.07
1982/11,265.02,74.57
1982/12,242.49,80.12
1983/01,232.9 ,82.76
1983/02,236.27,81.52
1983/03,237.92,81.73
1983/04,237.7 ,82.09
1983/05,234.78,83.68
1983/06,240.06,82.25
1983/07,240.49,81.83
1983/08,244.36,81.1
1983/09,242.71,82.36
1983/10,233   ,85.48
1983/11,235.25,84.76
1983/12,234.34,85.48
1984/01,233.95,86.16
1984/02,233.67,85.21
1984/03,225.52,87.13
1984/04,224.95,87.61
1984/05,230.67,86.99
1984/06,233.29,85.23
1984/07,242.72,83.32
1984/08,242.24,82.75
1984/09,245.19,84.04
1984/10,246.89,84.38
1984/11,243.29,84.38
1984/12,247.96,84
1985/01,254.11,82.71
1985/02,260.34,81.33
1985/03,258.43,82.29
1985/04,251.67,82.64
1985/05,251.57,82.78
1985/06,248.95,83.07
1985/07,241.7 ,84.06
1985/08,237.2 ,84.52
1985/09,236.91,85.16
1985/10,214.84,92.17
1985/11,203.85,95.45
1985/12,202.75,95.3
1986/01,200.05,95.76
1986/02,184.62,102.22
1986/03,178.83,104.73
1986/04,175.56,107.04
1986/05,166.89,111.67
1986/06,167.82,110.48
1986/07,158.65,115.5
1986/08,154.11,117.26
1986/09,154.78,116.34
1986/10,156.04,114.74
1986/11,162.72,109.82
1986/12,162.13,109.1
1987/01,154.48,110.89
1987/02,153.49,110.61
1987/03,151.56,111.76
1987/04,142.96,117.82
1987/05,140.47,118.74
1987/06,144.52,115.12
1987/07,150.2 ,110.36
1987/08,147.57,111.97
1987/09,143.03,114.75
1987/10,143.48,114.09
1987/11,135.25,117.35
1987/12,128.25,121.65
1988/01,127.44,122.02
1988/02,129.26,120.48
1988/03,127.23,121.32
1988/04,124.88,122.96
1988/05,124.74,123.16
1988/06,127.2 ,121.26
1988/07,133.1 ,117.35
1988/08,133.63,117.57
1988/09,134.45,117.15
1988/10,128.85,120.95
1988/11,123.16,123.45
1988/12,123.63,122.09
1989/01,127.24,119.19
1989/02,127.77,118.23
1989/03,130.35,116.3
1989/04,132.01,115.97
1989/05,138.4 ,112.16
1989/06,143.92,108.22
1989/07,140.63,108.79
1989/08,141.2 ,108.27
1989/09,145.06,106.3
1989/10,141.99,107.54
1989/11,143.55,104.71
1989/12,143.62,103.06
1990/01,145.09,100.75
1990/02,145.54,99.73
1990/03,153.19,95.42
1990/04,158.5 ,92.19
1990/05,153.52,94.72
1990/06,153.78,94.12
1990/07,149.23,95.52
1990/08,147.46,94.66
1990/09,138.96,100.5
1990/10,129.73,106.98
1990/11,129.01,106.65
1990/12,133.72,103.17
1991/01,133.65,103.37
1991/02,130.44,104.36
1991/03,137.09,102.49
1991/04,137.15,104.67
1991/05,138.02,104.23
1991/06,139.83,103.78
1991/07,137.98,104.86
1991/08,136.85,104.62
1991/09,134.59,105.15
1991/10,130.81,109.09
1991/11,129.64,108.32
1991/12,128.07,107.83
1992/01,125.05,110.02
1992/02,127.53,108.37
1992/03,132.75,105.25
1992/04,133.59,105.17
1992/05,130.55,106.44
1992/06,126.9 ,108.15
1992/07,125.66,106.35
1992/08,126.34,105.35
1992/09,122.72,108.99
1992/10,121.14,112.3
1992/11,123.84,112.52
1992/12,123.98,112.66
1993/01,125.02,112.07
1993/02,120.97,116.78
1993/03,117.02,120.58
1993/04,112.37,124.53
1993/05,110.23,126.57
1993/06,107.29,131.06
1993/07,107.77,132.95
1993/08,103.72,138.16
1993/09,105.27,134.38
1993/10,106.94,132.22
1993/11,107.81,131.62
1993/12,109.72,128.97
1994/01,111.49,127.24
1994/02,106.14,132.36
1994/03,105.12,133.42
1994/04,103.48,135.32
1994/05,104   ,133.73
1994/06,102.69,133.5
1994/07,98.54 ,136.79
1994/08,99.86 ,134.1
1994/09,98.79 ,134.46
1994/10,98.4  ,134.63
1994/11,98    ,134.81
1994/12,100.17,132.04
1995/01,99.79 ,131.27
1995/02,98.23 ,131.88
1995/03,90.77 ,140.96
1995/04,83.53 ,150.25
1995/05,85.21 ,148.06
1995/06,84.54 ,148.01
1995/07,87.24 ,142.41
1995/08,94.56 ,132.21
1995/09,100.31,125.17
1995/10,100.68,123.34
1995/11,101.89,121.76
1995/12,101.86,122.22
1996/01,105.81,117.34
1996/02,105.7 ,116.47
1996/03,105.85,116.04
1996/04,107.4 ,114.81
1996/05,106.49,116.14
1996/06,108.82,113.18
1996/07,109.25,112.51
1996/08,107.84,113.01
1996/09,109.76,111.2
1996/10,112.3 ,109.08
1996/11,112.27,108.32
1996/12,113.74,107.42
1997/01,118.18,104.02
1997/02,123.01,100.24
1997/03,122.66,101.13
1997/04,125.47,100.75
1997/05,118.91,106.71
1997/06,114.31,110.92
1997/07,115.1 ,111.24
1997/08,117.89,110.23
1997/09,120.74,108.47
1997/10,121.13,109.37
1997/11,125.35,105.91
1997/12,129.52,106.93
1998/01,129.45,110.84
1998/02,125.85,111.45
1998/03,128.83,107.7
1998/04,131.81,104.06
1998/05,135.08,102.46
1998/06,140.35,99.89
1998/07,140.66,98.85
1998/08,144.76,96.09
1998/09,134.5 ,102.5
1998/10,121.33,112.48
1998/11,120.61,112.44
1998/12,117.4 ,114.57
1999/01,113.14,118.27
1999/02,116.73,115.11
1999/03,119.71,113.58
1999/04,119.66,113.6
1999/05,122.14,111.26
1999/06,120.81,112.5
1999/07,119.76,113.27
1999/08,113.3 ,119.25
1999/09,107.45,126.55
1999/10,106   ,127.02
1999/11,104.83,128.46
1999/12,102.61,130.84
2000/01,105.21,126.57
2000/02,109.34,121.49
2000/03,106.62,125.65
2000/04,105.35,127.39
2000/05,108.13,126.24
2000/06,106.13,127.19
2000/07,107.9 ,125.12
2000/08,108.02,125.86
2000/09,106.75,127.87
2000/10,108.34,127.03
2000/11,108.87,126.47
2000/12,112.21,121.96
2001/01,117.1 ,115.84
2001/02,116.1 ,116.16
2001/03,121.21,111.87
2001/04,123.77,110.56
2001/05,121.83,112.44
2001/06,122.19,112.52
2001/07,124.63,110.32
2001/08,121.53,111.76
2001/09,118.91,113.6
2001/10,121.32,111.83
2001/11,122.33,110.74
2001/12,127.32,106.54
2002/01,132.66,102.03
2002/02,133.53,100.6
2002/03,131.15,102.45
2002/04,131.01,102.13
2002/05,126.39,104.68
2002/06,123.44,105.91
2002/07,118.08,109.06
2002/08,119.03,109.18
2002/09,120.49,107.48
2002/10,123.88,104.73
2002/11,121.54,105.8
2002/12,122.17,104.68
2003/01,118.67,105.36
2003/02,119.29,103.85
2003/03,118.49,104.75
2003/04,119.82,103.52
2003/05,117.26,104.15
2003/06,118.27,102.76
2003/07,118.65,102.88
2003/08,118.81,103.27
2003/09,115.09,105.84
2003/10,109.58,109.5
2003/11,109.18,109.05
2003/12,107.87,109.13
2004/01,106.39,108.78
2004/02,106.54,108.1
2004/03,108.57,106.74
2004/04,107.31,107.47
2004/05,112.27,103.95
2004/06,109.45,106.19
2004/07,109.34,105.46
2004/08,110.41,104.55
2004/09,110.05,104.7
2004/10,108.9 ,105.31
2004/11,104.86,107.36
2004/12,103.82,106.48
2005/01,103.27,106.83
2005/02,104.84,104.06
2005/03,105.3 ,103.41
2005/04,107.35,101.81
2005/05,106.94,102.86
2005/06,108.62,101.77
2005/07,111.94,98.88
2005/08,110.65,98.77
2005/09,111.03,98.28
2005/10,114.84,95.34
2005/11,118.45,92.74
2005/12,118.6 ,92.15
2006/01,115.33,92.93
2006/02,117.81,90.57
2006/03,117.31,91.09
2006/04,117.13,90.16
2006/05,111.53,93.34
2006/06,114.57,91.75
2006/07,115.59,90.4
2006/08,115.86,90.27
2006/09,117.02,89.35
2006/10,118.59,88.14
2006/11,117.33,87.72
2006/12,117.26,86.54
2007/01,120.59,84.25
2007/02,120.49,83.07
2007/03,117.29,85.19
2007/04,118.81,83.13
2007/05,120.77,81.44
2007/06,122.64,79.83
2007/07,121.56,79.36
2007/08,116.74,83.35
2007/09,115.01,83.62
2007/10,115.77,81.69
2007/11,111.24,83.87
2007/12,112.28,82.97
2008/01,107.6 ,85.24
2008/02,107.18,84.09
2008/03,100.83,88.18
2008/04,102.41,85.67
2008/05,104.11,85.02
2008/06,106.86,82.77
2008/07,106.76,82.05
2008/08,109.24,82.1
2008/09,106.71,85.89
2008/10,100.2 ,95.49
2008/11,96.89 ,100.82
2008/12,91.21 ,106.24
2009/01,90.35 ,106.57
2009/02,92.53 ,105.43
2009/03,97.83 ,99.78
2009/04,98.92 ,97.13
2009/05,96.43 ,97.03
2009/06,96.58 ,95.91
2009/07,94.49 ,97.66
2009/08,94.9  ,96.57
2009/09,91.4  ,99.19
2009/10,90.28 ,98.77
2009/11,89.11 ,99.38
2009/12,89.52 ,98.59
2010/01,91.26 ,96.76
2010/02,90.28 ,98.5
2010/03,90.56 ,97.8
2010/04,93.43 ,94.29
2010/05,91.79 ,97.55
2010/06,90.89 ,99.65
2010/07,87.67 ,101.34
2010/08,85.44 ,103.07
2010/09,84.31 ,103.08
2010/10,81.8  ,103.92
2010/11,82.43 ,102.53
2010/12,83.38 ,101.51
2011/01,82.63 ,100.84
2011/02,82.52 ,99.54
2011/03,81.82 ,99.87
2011/04,83.34 ,96.2
2011/05,81.23 ,98.55
2011/06,80.49 ,99.01
2011/07,79.44 ,99.83
2011/08,77.09 ,102.79
2011/09,76.78 ,104.83
2011/10,76.72 ,105.65
2011/11,77.5  ,104.09
2011/12,77.81 ,104.22
2012/01,76.94 ,104.91
2012/02,78.47 ,101.55
2012/03,82.37 ,96.85
2012/04,81.42 ,98.3
2012/05,79.7  ,101.29
2012/06,79.27 ,102.64
2012/07,78.96 ,102.66
2012/08,78.68 ,102.13
2012/09,78.17 ,101.38
2012/10,78.97 ,99.67
2012/11,80.92 ,96.94
2012/12,83.6  ,93.11
2013/01,89.15 ,86.85
2013/02,93.07 ,82.63
2013/03,94.73 ,81.88
2013/04,97.74 ,79.3
2013/05,101.01,77.06
2013/06,97.52 ,80.28
2013/07,99.66 ,78.79
2013/08,97.83 ,80.2
2013/09,99.3  ,78.78
2013/10,97.73 ,79.26
2013/11,100.04,77.94
2013/12,103.42,75.29
2014/01,103.94,74.91
2014/02,102.02,76.1
2014/03,102.3 ,75.95
2014/04,102.54,77.22
2014/05,101.78,77.94
2014/06,102.05,77.7
2014/07,101.73,77.79
2014/08,102.95,77.26
2014/09,107.16,74.82
2014/10,108.03,74.76
2014/11,116.24,69.97
2014/12,119.29,69.21
2015/01,118.25,70.92
2015/02,118.59,70.69
2015/03,120.37,70.63
2015/04,119.57,70.8
2015/05,120.82,69.71
2015/06,123.7 ,68.19
2015/07,123.31,69.07
2015/08,123.17,
2015/09,      ,
2015/10,      ,
2015/11,      ,
2015/12,      ,
